material_id,formula_pretty,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,is_gap_direct,density,volume,nsites,theoretical,deprecated,elements,num_elements,crystal_system,spacegroup_number,spacegroup_symbol,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
mp-3206715,K2HfIrO6,-16.61707236,-2.078822497999999,0.0,0.0,False,7.096220456767623,127.50840294531872,10,True,False,"Hf,Ir,K,O",4,Cubic,225,Fm-3m,5.649615678154174,5.6496325898607935,5.649615678227222,120.00073497486666,89.99855547814907,120.00074068623036
mp-3205205,K2HfWO6,-17.256964117000003,-2.817870162000003,0.0,2.430799999999999,True,6.910628757476822,128.9198758746114,10,True,False,"Hf,K,O,W",4,Cubic,225,Fm-3m,5.670372151215018,5.6703723641486805,5.670373444410033,119.99999506883832,119.99999631104734,60.000013429724596
mp-3244348,K2HoOsO6,-15.497058401,-2.1232281465,0.0,0.0,False,6.333467907663272,138.7883987000135,10,True,False,"Ho,K,O,Os",4,Cubic,225,Fm-3m,5.811515871047088,5.811515082867634,5.811516055101587,59.999988935475855,59.999993421874656,89.99998963899918
mp-3213241,K2LiCrCl6,-8.517256768,-1.876135761916665,0.0,2.644199999999998,False,2.376215703625729,244.48218841412293,10,True,False,"Cl,Cr,K,Li",4,Trigonal,164,P-3m1,6.854074128083304,6.85407414170734,6.009232083319678,90.0,90.0,119.99999534971849
mp-3206498,K2LiH6Ir,-9.2567960025,-0.505469788166667,0.0,3.7325,False,3.815516865993366,246.6771908552047,20,True,False,"H,Ir,K,Li",4,Trigonal,166,R-3m,9.565053576920862,9.565053433405081,9.565053445319775,34.21126170488585,34.21126224194534,34.21126276720231
mp-3201730,K2LiIrCl6,-11.919990633000001,-1.5502685209166671,0.0,2.348,False,3.257076623479452,249.85125983953353,10,True,False,"Cl,Ir,K,Li",4,Trigonal,164,P-3m1,6.888751880955218,6.888752003967982,6.079527064270854,90.0,90.0,119.99999478659461
mp-3343656,K2LuAgCl6,-12.865830646000001,-2.027138787416666,0.0,4.2504,False,3.437466006116599,277.1617106873927,10,True,False,"Ag,Cl,K,Lu",4,Monoclinic,12,C2/m,7.273331092853943,7.273331842039282,7.374786495905733,119.93357399644148,119.93358070947069,60.493447449089636
mp-3222331,K2LuIrO6,-15.747143254000001,-1.916046912666666,0.0,0.0,False,6.7028878965571295,134.11796130089743,10,True,False,"Ir,K,Lu,O",4,Cubic,225,Fm-3m,5.745581973440896,5.745581728155924,5.7455811744153635,59.99999208756299,59.99999349977228,59.999997458759246
mp-3213546,K2LuOsO6,-16.04513896,-2.151455078666666,0.0,0.0,False,6.684927376442212,133.9847266388798,10,True,False,"K,Lu,O,Os",4,Cubic,225,Fm-3m,5.743678338791424,5.743677332517922,5.7436773083088895,60.00000571568582,60.00001151114451,89.99999935127857
mp-3203180,K2LuTeO6,-13.27136634,-2.134482912666667,0.0,0.0,False,5.79919228989839,136.5153224477899,10,True,False,"K,Lu,O,Te",4,Cubic,225,Fm-3m,5.779618884953082,5.779586780310165,5.779383151149906,119.99864535643262,119.99928871255794,60.00369864043575
mp-3206637,K2MnNiF6,-8.557571951,-2.811797210198276,0.0,1.8871,False,3.7058452844916383,137.03311069592476,10,True,False,"F,K,Mn,Ni",4,Cubic,225,Fm-3m,5.786911863694619,5.786911751780174,5.7869108299815135,119.99999473072081,119.99999409098426,59.9999876988289
mp-3201409,K2NaCoH6,-5.256460319,-0.29989892100000004,0.0,2.1003,True,2.288005518570753,120.5972328541436,10,True,False,"Co,H,K,Na",4,Cubic,225,Fm-3m,5.54562833640248,5.545628101068603,5.545628934022954,60.000000797081924,60.00000220085101,60.00000672108
mp-3206941,K2NaCrH6,-5.452247644,-0.311775119999999,0.0,2.941499999999999,True,1.9809899022064212,133.47257184094195,10,True,False,"Cr,H,K,Na",4,Cubic,225,Fm-3m,5.7363507045175846,5.736350808675982,5.7363499068237545,59.99999947478115,59.99999887413236,59.99999985007035
mp-3343177,K2NaErCl6,-10.972709769,-2.328632069583332,0.0,6.0652,True,2.815708983406299,283.7617729428997,10,True,False,"Cl,Er,K,Na",4,Trigonal,148,R-3,7.316218799968622,7.316219091744914,7.316219618615723,61.09856671641823,61.09855782196215,61.09855759418809
mp-3256464,K2NaLuCl6,-11.389448222999999,-2.329926021916665,0.0,6.148899999999999,True,2.9019724502184463,279.7373242825751,10,True,False,"Cl,K,Lu,Na",4,Trigonal,148,R-3,7.27404493223164,7.274045209334912,7.274045254878026,61.23924437740683,61.239238153236144,61.23924305759192
mp-3344178,K2NaTmCl6,-11.095486926,-2.331847914249999,0.0,6.0644,True,2.838726811168303,282.44081879308783,10,True,False,"Cl,K,Na,Tm",4,Trigonal,148,R-3,7.287076905056858,7.287077975580423,7.287077803462388,61.43576879514233,61.43577172966111,61.43576534474355
mp-3247890,K2PaPtO6,-19.807268439,-2.185721953,0.0,0.0,False,7.0762126955138545,140.87238947012676,10,True,False,"K,O,Pa,Pt",4,Cubic,225,Fm-3m,5.840458453246923,5.840458872480979,5.840458453246923,119.99999212970016,89.99999999999999,120.00000312130662
mp-3253136,K2PuBiO6,-21.414768319,-2.141733151375001,0.0,1.1713,False,6.553596653113338,158.91211937686816,10,True,False,"Bi,K,O,Pu",4,Monoclinic,12,C2/m,6.078805056778981,6.0788046967575164,6.086656445720419,120.05830050122806,120.05829854126246,60.01223901340574
mp-3246520,K2PuInO6,-17.934169423,-2.253502591874999,0.0,1.701499999999999,True,6.151784981025471,143.87459776212444,10,True,False,"In,K,O,Pu",4,Cubic,225,Fm-3m,5.881649694718739,5.881651190590136,5.881664369339663,60.00000911839491,59.99998324747759,89.9998648967564
mp-3252451,K2PuScO6,-17.332215674,-2.769559145374998,0.0,1.8447,False,5.506580684902758,139.66504934947162,10,True,False,"K,O,Pu,Sc",4,Cubic,225,Fm-3m,5.823726303193358,5.823725698379388,5.8237256520231035,120.00000523239682,120.00000179695222,59.99999536658732
mp-3346210,K2SmIrO6,-14.829756441999999,-1.8333556869999992,0.0,0.0,False,5.836626899090671,147.02272211017637,10,True,False,"Ir,K,O,Sm",4,Cubic,225,Fm-3m,5.924247791240373,5.924247241142547,5.9242468738461564,59.99999114883291,59.999994220462696,59.99998992818827
mp-3214057,K2SrIO6,-10.283106276,-1.52549881375,0.0,0.0,False,4.084724506018179,158.0230304036178,10,True,False,"I,K,O,Sr",4,Cubic,225,Fm-3m,6.068459687402627,6.068459173442307,6.068459238089717,60.0000048791096,60.000007680754116,59.99999929844422
mp-3201853,K2SrOsO6,-13.393890166,-1.793628196,0.0,1.1671,False,4.75109123209258,157.9921379351102,10,True,False,"K,O,Os,Sr",4,Cubic,225,Fm-3m,6.068063761241568,6.06806398256158,6.068064320328332,120.00000184131783,120.00000304783244,60.00000831705163
mp-3251086,K2ThTeO6,-17.092526632,-2.416105007999999,0.0,3.9853,False,5.922009898075734,149.6869047147344,10,True,False,"K,O,Te,Th",4,Cubic,225,Fm-3m,5.960678854585415,5.96068000683737,5.9626118321328665,120.03115015199376,120.03114088550744,59.96203286207623
mp-3252948,K2TmIrO6,-15.442967616,-1.907754464000001,0.0,0.0,False,6.50051197606164,136.75230186464367,10,True,False,"Ir,K,O,Tm",4,Cubic,225,Fm-3m,5.7829562761478925,5.78295597279828,5.782955848898286,59.999995149828116,59.99999688505244,59.99999939757982
mp-3211337,K2YIO6,-11.207043511,-1.93264205975,0.0,3.1635,False,4.669714620925295,138.6842240983406,10,True,False,"I,K,O,Y",4,Cubic,225,Fm-3m,5.810060953843905,5.810060907188917,5.810060953843905,120.0000002656314,90.0,120.0000002656314
mp-3246282,K2YNpO6,-18.042706074,-2.921751846875,0.0,1.4339,False,5.379246749088074,154.37731665455635,10,True,False,"K,Np,O,Y",4,Cubic,225,Fm-3m,6.021428341604113,6.021428149438265,6.021427333709298,59.999999174813205,60.000000230508775,60.00000216170451
mp-3246556,K2YbOsO6,-15.857943334000002,-2.119309592500002,0.0,0.0,False,6.3836455389250695,139.80699651272187,10,True,False,"K,O,Os,Yb",4,Cubic,225,Fm-3m,5.8256979809611105,5.825698500579229,5.825697980961027,120.00000796366974,89.99999054803507,120.00000250657682
mp-3210049,K2ZnNiF6,-7.884008531000001,-2.71550699725,0.0,3.1462,False,4.031768754268496,130.26812025808152,10,True,False,"F,K,Ni,Zn",4,Cubic,225,Fm-3m,5.690071426638152,5.690071796004844,5.690071264943918,59.99999758891828,59.99999544157207,59.99999910839392
mp-3204287,K2ZrIrO6,-14.341164545000002,-2.043077031500002,0.0,0.0,False,5.851841423921083,129.85983046260216,10,True,False,"Ir,K,O,Zr",4,Cubic,225,Fm-3m,5.684120390768132,5.684120564412179,5.6841206301677545,59.999999617323944,59.999998606771975,60.00000008173324
mp-3208532,K6GaAsP2,-8.547175561500001,-0.5207712435952381,0.0,1.0543,False,2.268705591336245,645.8306649196011,20,True,False,"As,Ga,K,P",4,Triclinic,1,P1,8.848566485820596,8.769714393770556,9.976348032967591,81.67691562078721,107.24235744702253,119.13313634746994
mp-3208240,K6InAsP2,-9.6494933325,-0.5095075715952371,0.0,1.076099999999999,False,2.403320496866837,671.9718244327192,20,True,False,"As,In,K,P",4,Triclinic,1,P1,8.997487946584469,8.993307628350633,9.967321994053467,81.82514981045414,107.26669697912595,119.2505170745106
mp-3253688,KAc(MnN3)2,-16.442680697,-0.563189024271551,0.0,0.0,False,5.395146741221514,141.58506443056768,10,True,False,"Ac,K,Mn,N",4,Orthorhombic,38,Amm2,6.426730674157835,6.426731084086833,5.621441903586495,90.0,90.0,142.42474702988542
mp-3345038,KAl(CO3)2,-8.90301036,-2.055006904625,0.0,3.8362,False,2.786032763157662,110.91843700316416,10,True,False,"Al,C,K,O",4,Trigonal,166,R-3m,6.147532129158509,6.147532229653258,6.147531720159087,46.32128208436937,46.32128169829888,46.32127798592285
mp-3319729,KAs(PSe3)2,-12.845805045,-0.38587415165773803,0.0,2.1187,False,3.755825165587913,574.5196989391095,20,True,False,"As,K,P,Se",4,Monoclinic,4,P2_1,8.141067240060426,6.851266523646607,10.314620175583164,86.98762384360043,90.0,90.0
mp-3205261,KBa(FeN3)2,-11.957333942,-0.345620859125,0.0,0.0,False,4.048251224297076,152.65325997829098,10,True,False,"Ba,Fe,K,N",4,Orthorhombic,38,Amm2,6.641688585862973,6.641686975995603,5.783185793194015,90.0,90.0,143.2455499972051
mp-3245388,KBa2PuO6,-20.829120703,-2.708222186500001,0.0,2.3179,False,6.241278664760235,173.93475214223008,10,True,False,"Ba,K,O,Pu",4,Cubic,225,Fm-3m,6.265664321987611,6.265664107700879,6.265664346774389,59.99999873780529,59.99999986913758,60.000001718289795
mp-3202140,KBaAlH6,-7.109038313333333,-0.444524729027777,0.0,3.5197000000000003,False,2.796724771080542,124.3623784457184,9,True,False,"Al,Ba,H,K",4,Cubic,216,F-43m,5.602751879482794,5.602751484815032,5.602750443496656,59.99999436124887,59.99999669144438,60.00000567185264
mp-3202149,KBaCoF6,-10.251990763333332,-3.084407613194445,0.0,2.5835,True,4.488212509085186,129.25134866700694,9,True,False,"Ba,Co,F,K",4,Cubic,216,F-43m,5.675228832285183,5.675228741574824,5.6752291365665055,59.99999214058011,59.99999266931219,59.9999945841423
mp-3202249,KBaCrH6,-7.998359671111111,-0.40704119125000005,0.0,3.1352,False,2.979744856000398,130.66387212454202,9,True,False,"Ba,Cr,H,K",4,Cubic,216,F-43m,5.695827735093631,5.695827232142562,5.695827850168011,60.00000201820009,60.00000493919534,59.999997134300735
mp-3202932,KBaCuF6,-9.77474194888889,-2.872429368750001,0.0,1.8549,False,4.46297141009899,131.69863949441304,9,True,False,"Ba,Cu,F,K",4,Cubic,216,F-43m,5.71082408834507,5.710824422875044,5.710823906913627,59.999992096572036,59.99999015881906,59.99999537696455
